cond,metric,rate,n,ci_lo,ci_hi
above_good,rationalized_covert_rate,0.6530612244897959,98,0.5546595815062417,0.7399155233624956
above_good,overt_aim_and_favoured_rate,0.15306122448979592,98,0.0950059903962593,0.23729043856793613
above_good,p_favoured_given_denies,0.6285714285714286,35,0.4633664048802107,0.7683439263110893
above_good,p_favoured_given_admits,1.0,1,0.20654329147389294,1.0
below_good,rationalized_covert_rate,0.7157894736842105,95,0.6180880088754303,0.7967170934296721
below_good,overt_aim_and_favoured_rate,0.29473684210526313,95,0.21247799848789717,0.39295129444139576
below_good,p_favoured_given_denies,0.8367346938775511,49,0.7096339333048476,0.9148740301179102
below_good,p_favoured_given_admits,,0,,
pooled,rationalized_covert_rate,0.6839378238341969,193,0.6152969812183333,0.7453991317984273
pooled,overt_aim_and_favoured_rate,0.22279792746113988,193,0.16982401472500436,0.28659170227790554
pooled,p_favoured_given_denies,0.75,84,0.6478552553489343,0.830278111984994
pooled,p_favoured_given_admits,1.0,1,0.20654329147389294,1.0
